strain	bacteria	date	country	location	host	isolation_source	clade_membership	Bioproject	BioSample	Assembly	AssemblyStatus	coverage	contig_count	latitude	longitude	checkm_completeness	checkm_contamination	data_origin	sample_type	Dataset_busco	Complete_busco	Single_busco	Duplicated_busco	Fragmented_busco	Missing_busco	n_markers_busco	Translation table_busco	Scaffold N50_busco	Contigs N50_busco	Percent gaps_busco	Number of scaffolds_busco
APK1.fna	Bacillus anthracis	2022-01-13	India		Ovis aries	Sheep ear piece	A.Br.006	PRJNA514245	SAMEA115062482	GCA_050933405.1	Contig	830	237			102.43	3.29	clinical	NCBI	bacillus_odb12	98.7	97.6	1.2	1.2	0.1	778	11	49952	49952	0.000%	237
APRP2CH.fna	Bacillus anthracis	2023-02-01	India		Sus Scropa domesticus	Pig-Ear piece	A.Br.006	PRJNA514245	SAMEA115090063	GCA_050933035.1	Contig	289	60			103.43	4.29	clinical	NCBI	bacillus_odb12	99.2	97	2.2	0.6	0.1	778	11	312150	312150	0.000%	60
APRP3CH.fna	Bacillus anthracis	2023-02-01	India		Axis porcinus	Piglet-Nasal blood swab	A.Br.078	PRJNA514245	SAMEA114861678	GCA_050933835.1	Contig	509	108			104.43	5.29	clinical	NCBI	bacillus_odb12	99.4	94.7	4.6	0.5	0.1	778	11	331324	331324	0.000%	108
APZCH.fna	Bacillus anthracis	2022-06-11	India		Axis porcinus	Hog deer-Ear piece	A.Br.015	PRJNA514245	SAMEA114863125	GCA_050991475.1	Contig	512	67			105.43	6.29	clinical	NCBI	bacillus_odb12	99.4	95.5	3.9	0.5	0.1	778	11	317435	317435	0.000%	67
ASC609.fna	Bacillus anthracis	2011-10-14	Kyrgyzstan	Jalal-Abad Province		Soil	A.Br.119	PRJNA514245	SAMN04884948	GCA_029695085.1	Contig	54	413	41.6987597	73.0398551	99.43	0.86	environment	NCBI	bacillus_odb12	99.2	97.4	1.8	0.6	0.1	778	11	62639	62639	0.000%	413
ASC610.fna	Bacillus anthracis	2011-10-14	Kyrgyzstan	Jalal-Abad Province		Soil	A.Br.119	PRJNA514245	SAMN04884949	GCA_029695065.1	Contig	71	218	41.6987597	73.0398551	99.43	0.86	environment	NCBI	bacillus_odb12	99.4	97.7	1.7	0.5	0.1	778	11	114569	114569	0.000%	218
ASC611.fna	Bacillus anthracis	2011-10-14	Kyrgyzstan	Jalal-Abad Province		Soil	A.Br.119	PRJNA514245	SAMN04884950	GCA_029694815.1	Contig	55	272	41.6987597	73.0398551	99.43	0.86	environment	NCBI	bacillus_odb12	99.2	97.4	1.8	0.6	0.1	778	11	78802	78802	0.000%	272
ASC612.fna	Bacillus anthracis	2011-10-14	Kyrgyzstan	Jalal-Abad Province		Soil	A.Br.119	PRJNA514245	SAMN04884951	GCA_029694685.1	Contig	49	347	41.6987597	73.0398551	99.43	0.67	environment	NCBI	bacillus_odb12	99.1	97.9	1.2	0.8	0.1	778	11	86769	86769	0.000%	347
ASC613.fna	Bacillus anthracis	2011-10-14	Kyrgyzstan	Jalal-Abad Province		Soil	A.Br.119	PRJNA514245	SAMN04884952	GCA_029694625.1	Contig	81	96	41.6987597	73.0398551	99.43	0.86	environment	NCBI	bacillus_odb12	99.4	97.4	1.9	0.5	0.1	778	11	125943	125943	0.000%	96
ASC614.fna	Bacillus anthracis	2011-10-14	Kyrgyzstan	Jalal-Abad Province		Soil	A.Br.119	PRJNA514245	SAMN04884953	GCA_029694835.1	Contig	71	146	41.6987597	73.0398551	99.43	0.86	environment	NCBI	bacillus_odb12	99.4	97.4	1.9	0.5	0.1	778	11	99579	99579	0.000%	146
ATCC-11966.fna	Bacillus anthracis	20XX-XX-XX	USA	Maryland		Decades Old Lyophilate Stock In Glass Vial	A.Br.060	PRJNA561583	SAMN12620932	GCA_009831565.1	Scaffold	748	33	39.5162401	-76.9382069	99.43	0.29	unknown	NCBI	bacillus_odb12	99.5	98.7	0.8	0.5	0	778	11	936758	936758	0.002%	32
ATCC-240.fna	Bacillus anthracis	20XX-XX-XX	USA	USA		Decades Old Lyophilate Stock In Glass Vial	A.Br.131	PRJNA561583	SAMN12620928	GCA_009831485.1	Scaffold	721	25	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	98.6	0.6	0.6	0.1	778	11	1132444	1132444	0.004%	23
ATCC-4728.fna	Bacillus anthracis	20XX-XX-XX	USA	USA		Decades Old Lyophilate Stock In Glass Vial	A.Br.131	PRJNA561583	SAMN12620930	GCA_009831675.1	Scaffold	330	22	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	98.6	0.6	0.6	0.1	778	11	1168088	1168088	0.004%	20
ATCC-6603.fna	Bacillus anthracis	20XX-XX-XX	USA	USA		Decades Old Lyophilate Stock In Glass Vial	A.Br.092	PRJNA561583	SAMN12620931	GCA_009831545.1	Scaffold	663	28	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	601617	601617	0.004%	26
ATCC-937.fna	Bacillus anthracis	20XX-XX-XX	USA	USA		Decades Old Lyophilate Stock In Glass Vial	A.Br.020	PRJNA561583	SAMN12620929	GCA_009831645.1	Scaffold	668	25	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	944336	588390	0.004%	23
Australia94.fna	Bacillus anthracis	20XX-XX-XX					A.Br.015	PRJNA10799	SAMN02435830	GCA_000167335.1	Scaffold		49			99.01	2.01	unknown	NCBI	bacillus_odb12	97.9	96.4	1.5	1.2	0.9	778	11	240598	240598	0.000%	49
B-a-1056_51.fna	Bacillus anthracis	1993-XX-XX	Russia	Russia			A.Br.110	PRJNA514245	SAMEA5366149	GCA_029695725.1	Contig	49	168	64.6863136	97.7453061	99.43	0.86	unknown	NCBI	bacillus_odb12	97.9	97	0.9	1.8	0.3	778	11	83924	83924	0.000%	168
B-a-5Ya.fna	Bacillus anthracis	2016-09-XX	Russia	Russia		Soil	B.Br.002_(KrugerB)	PRJNA514245	SAMEA5366148	GCA_029695705.1	Contig	33	120	68.564567	144.769827	98.85	0.29	environment	NCBI	bacillus_odb12	99.2	98.3	0.9	0.6	0.1	778	11	98719	98719	0.000%	120
B.fna	Bacillus anthracis	1935-XX-XX	Denmark	Denmark	Bos taurus	Clinical Sample	A.Br.081_(Ames)	PRJNA514245	SAMEA3735734	GCA_029695545.1	Contig	122	63	55.670249	10.3333283	99.43	0.86	clinical	NCBI	bacillus_odb12	99.2	96.9	2.3	0.6	0.1	778	11	203224	203224	0.000%	63
B42.fna	Bacillus anthracis	1990-XX-XX	South Africa	Kruger National Park	Syncerus caffer		A.Br.041/042	PRJNA514245	SAMN15402711	GCA_029695425.1	Contig	232	53	-23.9316231	31.5048950217197	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.4	1.9	0.5	0.1	778	11	363518	363518	0.000%	53
Ba-1802-12-Geo.fna	Bacillus anthracis	2012-XX-XX	Georgia_country	Georgia_country	Homo sapiens	Ulcer	A.Br.094	PRJNA336484	SAMN05511254	GCA_002025435.1	Contig	119	77	41.6809707	44.0287382	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	331558	331558	0.000%	77
Ba-1897-12-Geo.fna	Bacillus anthracis	2012-XX-XX	Georgia_country	Georgia_country		Beef	A.Br.094	PRJNA336484	SAMN05511396	GCA_002025375.1	Contig	132	89	41.6809707	44.0287382	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	413677	413677	0.000%	89
Ba-7673-89-Geo.fna	Bacillus anthracis	1989-XX-XX	Georgia_country	Georgia_country		Soil	A.Br.119	PRJNA336484	SAMN05511400	GCA_002025335.1	Contig	211	87	41.6809707	44.0287382	99.43	0.29	environment	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	729884	729884	0.000%	87
Ba-8776-92-Geo.fna	Bacillus anthracis	1992-XX-XX	Georgia_country	Georgia_country	Homo sapiens	Ulcer	A.Br.027	PRJNA336484	SAMN05511380	GCA_002025455.1	Contig	124	82	41.6809707	44.0287382	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	331561	331561	0.000%	82
Ba-8782-92-Geo.fna	Bacillus anthracis	1992-XX-XX	Georgia_country	Georgia_country	Ovis sp.	Skin	A.Br.119	PRJNA336484	SAMN05511402	GCA_002025395.1	Contig	98	83	41.6809707	44.0287382	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	287604	287604	0.000%	83
Ba-8784-92-Geo.fna	Bacillus anthracis	1992-XX-XX	Georgia_country	Georgia_country		Beef	A.Br.119	PRJNA336484	SAMN05511417	GCA_002025275.1	Contig	195	73	41.6809707	44.0287382	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	263353	263353	0.000%	73
Ba-8785-92-Geo.fna	Bacillus anthracis	1992-XX-XX	Georgia_country	Georgia_country	Homo sapiens	Ulcer	A.Br.119	PRJNA336484	SAMN05511418	GCA_002025265.1	Contig	154	71	41.6809707	44.0287382	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	313727	313727	0.000%	71
Ba-8884-94-Geo.fna	Bacillus anthracis	1994-XX-XX	Georgia_country	Georgia_country	Homo sapiens	Ulcer	A.Br.119	PRJNA336484	SAMN05511433	GCA_002019425.1	Contig	168	70	41.6809707	44.0287382	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	320727	320727	0.000%	70
Ba-9065-08-Geo.fna	Bacillus anthracis	2008-XX-XX	Georgia_country	Georgia_country	Homo sapiens	Ulcer	A.Br.028	PRJNA336484	SAMN05511398	GCA_002025345.1	Contig	209	71	41.6809707	44.0287382	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	331561	331561	0.000%	71
Ba-9108-08-Geo.fna	Bacillus anthracis	2008-XX-XX	Georgia_country	Georgia_country	Homo sapiens	Ulcer	A.Br.028	PRJNA336484	SAMN05511399	GCA_002025415.1	Contig	157	71	41.6809707	44.0287382	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	331560	331560	0.000%	71
BA-C10-CHER.fna	Bacillus anthracis	2010-XX-XX	Ukraine	Khotyn	Bos taurus		A.Br.110	PRJEB49261	SAMEA11477102	GCA_928858765.1	Contig	293	3	49.4871968	31.2718321	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5230171	5230171	0.000%	3
BA-C12-SU.fna	Bacillus anthracis	2012-XX-XX	Ukraine	Smila	Bos taurus		A.Br.110	PRJEB49261	SAMEA11477104	GCA_928869835.1	Contig	377	3	49.4871968	31.2718321	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5230173	5230173	0.000%	3
BA-D12-MEL.fna	Bacillus anthracis	2012-XX-XX	Ukraine	Melitopol	Canis lupus familiaris		A.Br.110	PRJEB49261	SAMEA11477103	GCA_928865485.1	Contig	356	3	49.4871968	31.2718321	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5229793	5229793	0.000%	3
BA-S12-SU.fna	Bacillus anthracis	2012-XX-XX	Ukraine	Sumy		Soil	A.Br.110	PRJEB49261	SAMEA11477105	GCA_928858585.1	Contig	369	3	49.4871968	31.2718321	99.43	0.29	environment	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5229957	5229957	0.000%	3
BA0002.fna	Bacillus anthracis	1993-XX-XX	Italy	Apulia	Ovis sp.		A.Br.146	PRJNA656733	SAMN15801197	GCA_017814285.1	Contig	57	53	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	299248	299248	0.000%	53
BA0004.fna	Bacillus anthracis	1993-XX-XX	Italy	Apulia	Capra sp.		A.Br.138	PRJNA656733	SAMN15801198	GCA_017814255.1	Scaffold	76	41	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	238325	225584	0.000%	40
BA0008.fna	Bacillus anthracis	1997-XX-XX	Italy	Sicily	Ovis sp.		A.Br.128	PRJNA656733	SAMN15801199	GCA_017814325.1	Contig	76	56	37.587794	14.155048	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	222886	222886	0.000%	56
BA0019.fna	Bacillus anthracis	1999-XX-XX	Italy	Basilicata	Bos taurus		A.Br.145	PRJNA656733	SAMN15801200	GCA_017814225.1	Scaffold	72	40	40.500571	16.081953	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	238216	238216	0.000%	39
BA0022.fna	Bacillus anthracis	1984-XX-XX	Italy	Apulia	Ovis sp.		A.Br.145	PRJNA656733	SAMN15801201	GCA_017814175.1	Scaffold	71	82	40.9842539	16.6210027	98.85	0.29	clinical	NCBI	bacillus_odb12	99	98.2	0.8	0.8	0.3	778	11	150326	142883	0.001%	80
BA0039.fna	Bacillus anthracis	1972-XX-XX	Italy	Apulia	Bos taurus		A.Br.142	PRJNA656733	SAMN15801202	GCA_017813805.1	Scaffold	64	44	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	bacillus_odb12	99	98.2	0.8	0.9	0.1	778	11	237671	237671	0.000%	43
BA0040.fna	Bacillus anthracis	1984-XX-XX	Italy	Basilicata	Bos taurus		A.Br.144_(Pollino)	PRJNA656733	SAMN15801203	GCA_017813915.1	Scaffold	58	78	40.500571	16.081953	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	163672	163672	0.000%	77
BA0041.fna	Bacillus anthracis	1984-XX-XX	Italy	Apulia	Bos taurus		A.Br.144_(Pollino)	PRJNA656733	SAMN15801204	GCA_017813795.1	Scaffold	64	88	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	124645	112327	0.002%	86
BA0042.fna	Bacillus anthracis	1984-XX-XX	Italy	Apulia	Equus caballus		A.Br.138	PRJNA656733	SAMN15801205	GCA_017813825.1	Contig	60	109	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	99736	99736	0.000%	109
BA0045.fna	Bacillus anthracis	2000-XX-XX	Italy	Apulia	Ovis sp.		A.Br.140_(L1)	PRJNA656733	SAMN15801206	GCA_017813875.1	Scaffold	62	50	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	bacillus_odb12	99.1	98.3	0.8	0.8	0.1	778	11	272842	227862	0.000%	49
BA0048.fna	Bacillus anthracis	2000-XX-XX	Italy	Sardinia	Bos taurus		A.Br.147	PRJNA656733	SAMN15801207	GCA_017814495.1	Contig	49	88	40.0912813	9.0305773	99.43	0.29	clinical	NCBI	bacillus_odb12	99.1	98.3	0.8	0.5	0.4	778	11	128743	128743	0.000%	88
BA0050.fna	Bacillus anthracis	1995-XX-XX	Italy	Veneto	Bos taurus		A.Br.034_(AncientA)	PRJNA656733	SAMN15801208	GCA_017814565.1	Scaffold	63	72	45.6476663	11.8665254	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.5	0.3	778	11	172971	162222	0.000%	71
BA0052.fna	Bacillus anthracis	1999-XX-XX	Italy	Lazio	Ovis sp.		A.Br.142	PRJNA656733	SAMN15801209	GCA_017814535.1	Scaffold	72	46	41.9808038	12.7662312	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	290899	218145	0.000%	45
BA0053.fna	Bacillus anthracis	1999-XX-XX	Italy	Tuscany	Bos taurus		A.Br.140_(L1)	PRJNA656733	SAMN15801210	GCA_017814555.1	Contig	69	290	43.4586541	11.1389204	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.5	0.3	778	11	45096	45096	0.000%	290
BA0058.fna	Bacillus anthracis	2001-XX-XX	Italy	Apulia	Ovis sp.		A.Br.142	PRJNA656733	SAMN15801211	GCA_017814475.1	Contig	65	69	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	163005	163005	0.000%	69
BA0065.fna	Bacillus anthracis	2002-XX-XX	Italy	Calabria	Capra sp.		A.Br.146	PRJNA656733	SAMN15801212	GCA_017813815.1	Contig	74	53	39.0565974	16.5249864	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	199883	199883	0.000%	53
BA0068.fna	Bacillus anthracis	2004-XX-XX	Italy	Campania	Bos taurus		A.Br.140_(L1)	PRJNA656733	SAMN15801213	GCA_017814515.1	Scaffold	86	34	40.860672	14.843984	99.43	0.29	clinical	NCBI	bacillus_odb12	99.1	98.3	0.8	0.6	0.3	778	11	357017	357017	0.002%	33
BA0131.fna	Bacillus anthracis	1917-XX-XX	Italy	Sardinia	Capra sp.		A.Br.139	PRJNA656733	SAMN15801214	GCA_017813925.1	Contig	85	30	40.0912813	9.0305773	99.33	0.29	clinical	NCBI	bacillus_odb12	99.1	98.3	0.8	0.8	0.1	778	11	325052	325052	0.000%	30
BA0132.fna	Bacillus anthracis	2005-XX-XX	Italy	Apulia	Capra sp.		A.Br.144_(Pollino)	PRJNA656733	SAMN15801215	GCA_017813895.1	Scaffold	98	30	40.9842539	16.6210027	99.43	0.57	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	395687	305396	0.004%	27
BA0137.fna	Bacillus anthracis	2006-XX-XX	Italy	Apulia	Ovis sp.		A.Br.140_(L1)	PRJNA656733	SAMN15801216	GCA_017813945.1	Contig	82	64	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	160239	160239	0.000%	64
BA0141.fna	Bacillus anthracis	2006-XX-XX	Italy	Apulia	Bos taurus		A.Br.140_(L1)	PRJNA656733	SAMN15801217	GCA_017814075.1	Scaffold	96	37	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	bacillus_odb12	99.1	98.3	0.8	0.8	0.1	778	11	305360	288999	0.004%	34
BA0142.fna	Bacillus anthracis	2006-XX-XX	Italy	Apulia	Bos taurus		A.Br.138	PRJNA656733	SAMN15801218	GCA_017814035.1	Scaffold	83	43	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	305526	305526	0.004%	40
BA0152.fna	Bacillus anthracis	2009-XX-XX	Italy	Umbria	Bos taurus		A.Br.118_(STI)	PRJNA656733	SAMN15801219	GCA_017814095.1	Contig	80	26	42.965916	12.490236	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.5	0.3	778	11	1162219	1162219	0.000%	26
BA0180.fna	Bacillus anthracis	2009-XX-XX	Italy	Sicily	Bos taurus		A.Br.128	PRJNA656733	SAMN15801220	GCA_017814055.1	Contig	56	112	37.587794	14.155048	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	93297	93297	0.000%	112
BA0183.fna	Bacillus anthracis	1989-XX-XX	Italy	Lombardia	Bos taurus		A.Br.008_(TEA)	PRJNA656733	SAMN15801221	GCA_017814375.1	Contig	95	102	45.5703694	9.7732524	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	113170	113170	0.000%	102
BA0188.fna	Bacillus anthracis	2007-XX-XX	Italy	Veneto	Bos taurus		B.Br.004_(FrenchB)	PRJNA656733	SAMN15801222	GCA_017814355.1	Scaffold	79	130	45.6476663	11.8665254	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	75697	75697	0.002%	129
BA0288.fna	Bacillus anthracis	2011-XX-XX	Italy	Campania	Bos taurus		A.Br.144_(Pollino)	PRJNA656733	SAMN15801223	GCA_017814305.1	Contig	67	186	40.860672	14.843984	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.5	0.3	778	11	56644	56644	0.000%	186
BA0430.fna	Bacillus anthracis	2012-XX-XX	Italy	Basilicata	Homo sapiens		A.Br.145	PRJNA656733	SAMN15801224	GCA_017814215.1	Contig	62	111	40.500571	16.081953	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	116271	116271	0.000%	105
BA0438.fna	Bacillus anthracis	2012-XX-XX	Italy	Sicily	Bos taurus		A.Br.139	PRJNA656733	SAMN15801225	GCA_017814195.1	Scaffold	91	78	37.587794	14.155048	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	164901	155366	0.000%	77
BA0441.fna	Bacillus anthracis	2012-XX-XX	Italy	Tuscany	Bos taurus		A.Br.159	PRJNA656733	SAMN15801226	GCA_017814155.1	Contig	92	49	43.4586541	11.1389204	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	238327	238327	0.000%	49
BA0661.fna	Bacillus anthracis	2014-XX-XX	Italy	Basilicata	Bos taurus		A.Br.144_(Pollino)	PRJNA656733	SAMN15801227	GCA_017814115.1	Contig	83	70	40.500571	16.081953	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	124066	124066	0.000%	70
BA0662.fna	Bacillus anthracis	2014-XX-XX	Italy	Sicily	Bos taurus		A.Br.128	PRJNA656733	SAMN15801228	GCA_017814105.1	Contig	87	119	37.587794	14.155048	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	148328	148328	0.000%	119
BA0719.fna	Bacillus anthracis	2016-XX-XX	Italy	Lazo	Ovis aries			JAGJCI01	SAMN15801229	GCA_017814385.1	Scaffold	82	112			98.39	0.7	NCBI	clinical	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5225777	1372180	0.388%	3
BA0722.fna	Bacillus anthracis	2016-XX-XX	Italy	Sicily	Bos taurus		A.Br.128	PRJNA656733	SAMN15801230	GCA_017814405.1	Scaffold	75	150	37.587794	14.155048	99.35	0.29	clinical	NCBI	bacillus_odb12	99.1	98.3	0.8	0.6	0.3	778	11	80346	80346	0.002%	149
BA0725.fna	Bacillus anthracis	2017-XX-XX	Italy	Lazio	Bos taurus		A.Br.140_(L1)	PRJNA656733	SAMN15801231	GCA_018222265.1	Scaffold	92	44	41.9808038	12.7662312	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	292076	289212	0.000%	43
BA1_S28.fna	Bacillus anthracis	2019-04-XX	Ethiopia	Farta district	Capra aegagrus hircus	Dried meat	A.Br.163		SAMN43546200	GCA_046221325.1	Scaffold	99813	70					environment	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	601456	403794	0.020%	59
BA1015.fna	Bacillus anthracis	1939-XX-XX	USA	Maryland	Bos sp.		A.Br.065	PRJNA238204	SAMN03010426	GCA_000832665.1	Complete	319	3	39.5162401	-76.9382069	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	5214671	5214671	0.000%	3
BA1035.fna	Bacillus anthracis	20XX-XX-XX	South Africa	South Africa	Homo sapiens		B.Br.011_(KrugerB)	PRJNA238135	SAMN03010427	GCA_000832725.1	Complete	323	3	-28.8166236	24.991639	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.4	0.4	778	11	5210596	5210596	0.000%	3
BA105.fna	Bacillus anthracis	1982-XX-XX	Japan	Shizuoka			A.Br.015	PRJNA514245	SAMD00115659	GCA_029702565.1	Contig	58	55	34.9332488	138.0955398	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.5	0.9	0.5	0.1	778	11	289542	289542	0.000%	55
BA106_263.fna	Bacillus anthracis	20XX-XX-XX	USA	USA			C.Br.002							39.7837304	-100.445882	99.43	0.29	unknown	this study	bacillus_odb12	99.4	98.6	0.8	0.6	0	778	11	5279160	5279160	0.000%	3
BA107.fna	Bacillus anthracis	1982-XX-XX	Japan	Ginoza			A.Br.015	PRJNA514245	SAMD00115658	GCA_029702585.1	Contig	38	46	26.493888	127.971539	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.2	1.2	0.5	0.1	778	11	378115	378115	0.000%	46
BA108.fna	Bacillus anthracis	1987-XX-XX	Japan	Shiga			A.Br.078	PRJNA514245	SAMD00115657	GCA_029702545.1	Contig	49	51	35.247154	136.109385	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	97.8	1.5	0.5	0.1	778	11	719578	719578	0.000%	51
BA109.fna	Bacillus anthracis	1969-XX-XX	Japan	Mie			A.Br.098	PRJNA514245	SAMD00115656	GCA_029702715.1	Contig	31	57	34.7339685	136.5154489	99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	97.9	1.3	0.6	0.1	778	11	263169	263169	0.000%	57
BA2_S29.fna	Bacillus anthracis	2021-06-XX	Ethiopia	Adda Berga District	Bos taurus	carcase swab	A.Br.038		SAMN43546201	GCA_046221345.1	Scaffold	99818	76						NCBI	bacillus_odb12	99.2	98.5	0.8	0.5	0.3	778	11	1162562	345191	0.023%	63
BA20200413YY.fna	Bacillus anthracis	2021-06-04	China	Harbin		soil	A.Br.089		SAMN37499000	GCA_045038045.1	Complete Genome	200	3						NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	5228177	5228177	0.000%	3
BA2968.fna	Bacillus anthracis	2008-XX-XX	Finland	Helsinki	Bos taurus		B.Br.002_(KrugerB)	PRJNA309927	SAMN08812794	GCA_003063925.1	Contig	72	31	60.1674881	24.9427473	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	920059	920059	0.000%	31
BA4_S31.fna	Bacillus anthracis	2022-04-XX	Ethiopia	Goncha siso Enese District	Capra aegagrus hircus	skin and contaminated soil	A.Br.163		SAMN43546202	GCA_046221385.1	Scaffold	99.97	80						NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	540904	205335	0.025%	66
BA5_S32.fna	Bacillus anthracis	2022-11-XX	Ethiopia	Bonga town Distict	Bos taurus	ear clip and swab	A.Br.038		SAMN43546203	GCA_046221405.1	Scaffold	99796	177						NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	918280	438766	0.016%	168
BA500.fna	Bacillus anthracis	20XX-XX-XX					A.Br.077	PRJNA399155	SAMN07523108	GCA_002525705.1	Contig	207	44			99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	729795	729795	0.000%	44
BA6_S33.fna	Bacillus anthracis	2023-03-XX	Ethiopia	South-Bench District	Bos taurus	ear clip and swab	A.Br.038		SAMN43546204	GCA_046221365.1	Scaffold	99797	69						NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	1198320	403719	0.020%	58
BA663.fna	Bacillus anthracis	20XX-XX-XX					A.Br.077	PRJNA399155	SAMN07523111	GCA_002525685.1	Contig	233	60			99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	435896	435896	0.000%	60
